source,text,created_at,is_retweet,id_str
Twitter for iPhone,Victor Davis Hanson was a very good and interesting guest of Mark Levin on @FoxNews. He wrote a highly touted book called “The Second World Wars” and a new book will soon be coming out called “The Case For Trump.” Recommend both. @marklevinshow,11-25-2018 12:12:34,false,1066665948193669120
Twitter for iPhone,....All will stay in Mexico. If for any reason it becomes necessary we will CLOSE our Southern Border. There is no way that the United States will after decades of abuse put up with this costly and dangerous situation anymore!,11-24-2018 23:56:27,false,1066480700046655488
Twitter for iPhone,Migrants at the Southern Border will not be allowed into the United States until their claims are individually approved in court. We only will allow those who come into our Country legally. Other than that our very strong policy is Catch and Detain. No “Releasing” into the U.S...,11-24-2018 23:49:25,false,1066478927143677952
Twitter for iPhone,I am extremely happy and proud of the job being done by @USTreasury Secretary @StevenMnuchin1. The FAKE NEWS likes to write stories to the contrary quoting phony sources or jealous people but they aren’t true. They never like to ask me for a quote b/c it would kill their story.,11-23-2018 23:48:19,false,1066116263649382400
Twitter for iPhone,Really good Criminal Justice Reform has a true shot at major bipartisan support. @senatemajldr Mitch McConnell and @SenSchumer have a real chance to do something so badly needed in our country. Already passed with big vote in House. Would be a major victory for ALL!,11-23-2018 17:14:19,false,1066017112425185280
Twitter for iPhone,Really good Criminal Justice Reform has a true shot at major bipartisan support. @senatemajldr Mitch McConnell and @senchuckschumer have a real chance to do something so badly needed in our country. Already past with big vote in House. Would be a major victory for ALL!,11-23-2018 12:57:18,false,1065952431455068160
Twitter for iPhone,Republicans and Democrats MUST come together finally with a major Border Security package which will include funding for the Wall. After 40 years of talk it is finally time for action. Fix the Border for once and for all NOW!,11-23-2018 12:41:50,false,1065948536498544640
Twitter for iPhone,Our highly trained security professionals are not allowed to do their job on the Border because of the Judicial Activism and Interference by the 9th Circuit. Nevertheless they are working hard to make America a safer place though hard to do when anybody filing a lawsuit wins!,11-22-2018 23:07:44,false,1065743662464802817
Twitter for iPhone,This is the coldest weather in the history of the Thanksgiving Day Parade in NYC and one of the coldest Thanksgivings on record!,11-22-2018 21:26:12,false,1065718109624066049
Twitter for iPhone,https://t.co/y4chCfEDke,11-22-2018 15:12:12,false,1065623990746710022
Twitter for iPhone,Will be speaking with our great military in different parts of the world through teleconference at 9:00 A.M. Eastern. Then it will be off to see our Coast Guard patriots &amp; to thank them for the great job they have been doing especially with the hurricanes. Happy Thanksgiving!,11-22-2018 13:42:29,false,1065601413189984256
